user_id,frag_id,rating
38083,26131168,3
49063,26131168,2
37332,26131168,1
29780,26131168,1
13381457,26146164,3
26200865,26146164,3
26140098,26146164,3
39711,26149704,1
26190030,26149704,3
9372,26149704,1
26193350,26149704,1
26130536,26149704,1
28472,26149704,2
6029,26131165,2
12126,26131165,2
43465,26131165,3
13385633,26131165,3
51595,26131165,3
20943,26131165,1
22018,26131165,3
26139701,26131165,3
5380,26131167,2
13376930,26131167,3
48225,26131167,3
17649,26131167,1
26137576,26131167,1
22018,26131167,1
5129,26125486,3
8698,26125486,3
8949,26125486,2
32804,26125956,3
219,26125956,2
950,26125956,3
1638,26125956,1
37765,26125956,3
5023,26125956,3
5596,26125956,3
7195,26125956,3
37507,26125956,3
13233,26125956,3
20134,26125956,3
26137576,26125956,3
23038,26125956,3
24044,26125956,3
29019,26125956,3
7186,26125485,3
9476,26125485,2
26226431,26125485,2
12336,26125485,3
39711,26125482,2
50635,26125482,3
13387228,26125482,3
29565,26125482,1
1658,26125952,1
38961,26125952,3
9372,26125952,3
9667,26125952,2
43489,26125952,3
13380154,26125952,1
13012,26125952,2
17649,26125952,3
19088,26125952,1
26200865,26125952,3
52918,26125952,2
54490,26125952,2
55113,26125952,1
23042,26125952,2
24381,26125952,3
28472,26125952,3
5596,26139751,1
39711,26139751,3
26129618,26139751,2
13448866,26139751,3
26166171,26139751,3
20087,26139751,3
52918,26139751,3
26196447,26139751,3
13399957,26139751,3
13400615,26139751,3
1638,26139750,2
13391509,26139750,3
44009,26139750,2
26232766,26139750,3
24381,26139750,3
26852,26139750,3
32181,26139750,3
13,26120354,3
30,26120354,1
195,26120354,1
13402334,26120354,3
617,26120354,1
33402,26120354,2
685,26120354,3
33493,26120354,2
33628,26120354,1
912,26120354,3
937,26120354,1
959,26120354,3
987,26120354,1
33770,26120354,1
1173,26120354,2
33964,26120354,1
1203,26120354,3
1639,26120354,1
1658,26120354,3
34457,26120354,3
1690,26120354,2
1795,26120354,3
34565,26120354,1
38533,26120354,3
1993,26120354,3
34777,26120354,3
2113,26120354,3
2120,26120354,3
2145,26120354,1
2181,26120354,2
2182,26120354,3
34973,26120354,1
2311,26120354,3
35111,26120354,1
2354,26120354,2
2361,26120354,2
2388,26120354,2
35258,26120354,3
2537,26120354,2
2570,26120354,3
35507,26120354,3
2746,26120354,3
35646,26120354,2
2976,26120354,1
2980,26120354,3
13372416,26120354,1
3138,26120354,3
3186,26120354,1
3278,26120354,1
36204,26120354,2
3485,26120354,3
3818,26120354,2
3981,26120354,3
3997,26120354,3
4045,26120354,2
37009,26120354,3
4261,26120354,3
37048,26120354,1
4339,26120354,3
13373711,26120354,3
4581,26120354,3
4659,26120354,3
4660,26120354,2
4738,26120354,3
4741,26120354,1
4793,26120354,3
4824,26120354,2
26186462,26120354,3
5023,26120354,3
5171,26120354,3
5242,26120354,3
38170,26120354,3
38281,26120354,3
38429,26120354,1
5833,26120354,2
38824,26120354,1
6059,26120354,2
6071,26120354,1
26122281,26120354,3
38961,26120354,3
1062,26120354,3
6526,26120354,3
6543,26120354,2
6614,26120354,3
39450,26120354,3
13409035,26120354,3
39711,26120354,2
6953,26120354,2
39862,26120354,2
13376520,26120354,2
7314,26120354,2
13376700,26120354,3
7534,26120354,2
7560,26120354,1
13442505,26120354,1
13377002,26120354,1
7759,26120354,3
40648,26120354,3
13443175,26120354,2
13377692,26120354,3
8550,26120354,3
8949,26120354,2
9357,26120354,1
9372,26120354,1
9476,26120354,2
10063,26120354,3
42835,26120354,1
42856,26120354,1
26191736,26120354,1
42915,26120354,3
42987,26120354,1
10305,26120354,2
43341,26120354,2
11035,26120354,1
11204,26120354,1
11247,26120354,3
11554,26120354,3
26160424,26120354,1
13380951,26120354,2
44702,26120354,3
12933,26120354,3
37507,26120354,2
12321,26120354,1
